"時間戳記","你目前 ""會"" 或 ""熟練"" 的程式語言有哪些呢? (你目前的技能)","目前  ""最有興趣"" 或 ""最想學習"" 的語言","資源分享","拋接訂單、求職資訊交換","純技術的分享交流","結交同好","程式教學、課程","提問與解答幫助","其他","網頁前端","資料庫","Discord Bot","刷題解題、比賽 (CF、LeetCode、Code War...)","桌面應用程式開發 (含GUI)","移動裝置應用程式開發 (含GUI)","機器學習","網頁爬蟲","單晶片 / Arduino","其他","程式語言 與 基本語法","網頁前端","Discord Bot","桌面應用程式開發 (含GUI)","移動裝置應用程式開發 (含GUI)","資料庫","API串接 / API 開發","網路爬蟲","其他"
"2020/05/25 7:32:36 下午 GMT+8","Python","Python;JavaScript / TypeScript / Node.js;Java","4","1","5","5","1","5","","3","4","5","3","4","4","3","4","3","","5","3","5","3","3","4","5","3",""
"2020/05/25 7:36:23 下午 GMT+8","Python","Python","4","3","5","3","4","5","","4","3","2","5","4","4","5","4","2","","5","5","2","4","2","4","3","5",""
"2020/05/25 7:41:28 下午 GMT+8","C++;C","JavaScript / TypeScript / Node.js;Java;HTML / CSS","5","3","5","4","5","5","","5","5","3","5","5","5","3","4","5","","5","5","3","5","5","5","4","4",""
"2020/05/25 7:45:56 下午 GMT+8","Python;JavaScript / TypeScript / Node.js;C#;C;Kotlin;Java;HTML / CSS","Python;JavaScript / TypeScript / Node.js;C++;Kotlin;Java","5","3","5","5","5","4","","4","3","4","4","5","4","4","4","4","","5","4","4","5","5","3","4","4",""
"2020/05/25 9:03:16 下午 GMT+8","C++;Java","Python;JavaScript / TypeScript / Node.js","4","3","4","4","4","5","","2","1","3","2","4","4","5","5","5","","4","4","4","5","5","2","4","4",""
"2020/05/26 6:26:10 下午 GMT+8","Python;C++","JavaScript / TypeScript / Node.js;Java","3","2","5","5","5","5","","3","4","4","4","5","4","3","4","4","","4","4","4","4","4","3","3","4",""
"2020/05/26 6:30:28 下午 GMT+8","Python;C++","C++","4","3","5","5","5","4","","5","5","5","5","5","5","5","5","5","","5","5","5","5","5","5","5","5","AI女友"
"2020/05/26 6:31:32 下午 GMT+8","Python;C++","Python;JavaScript / TypeScript / Node.js;HTML / CSS","5","3","5","5","5","5","","5","5","4","5","5","5","5","5","4","","5","5","4","5","5","5","5","5",""
"2020/05/26 8:36:54 下午 GMT+8","Python;C++","Python","3","3","3","4","4","3","","3","3","4","2","4","3","4","3","2","","4","3","4","4","3","3","2","4",""
"2020/05/26 9:45:16 下午 GMT+8","Python;C++","Python;C++","5","5","5","5","5","5","明天去7-11等我","5","5","5","5","5","5","5","5","5","知道了嗎？","5","5","5","5","5","5","5","5","嗯嗯"
"2020/05/27 11:31:56 上午 GMT+8","C++;C;Java","Python","4","5","5","4","5","5","","2","3","5","5","5","4","3","3","3","","4","3","5","4","4","2","2","2",""
"2020/05/29 1:16:12 下午 GMT+8","Python;C++;C;Ruby","JavaScript / TypeScript / Node.js;C#;Go Lang;HTML / CSS","5","3","5","2","4","4","","5","5","4","3","5","5","5","5","1","","3","5","4","5","5","5","5","5",""
"2020/05/30 11:50:21 下午 GMT+8","Python;C#","JavaScript / TypeScript / Node.js;HTML / CSS","5","5","5","5","4","5","","5","5","5","5","5","5","5","2","2","","5","5","5","5","5","5","4","2",""
